,fid,max0,max1,max2,mean0,mean1,mean2,min0,min1,min2,std0,std1,std2
0,t37,255,255,255,65.393310546875,73.62821960449219,144.35438537597656,0,0,32,72.07279086475297,70.25335800134714,41.86015405553527
0,t370,254,253,254,21.933868408203125,24.341827392578125,77.12832641601562,0,0,47,32.78438327198906,36.040418692378765,21.817674878779105
0,t371,243,255,255,18.365890502929688,20.904571533203125,82.90834045410156,2,1,32,20.914778698612523,23.03423819021215,14.432122832435194
0,t372,252,255,255,30.756317138671875,36.7694091796875,80.36149597167969,0,0,47,42.83623750021486,45.80083460676587,30.845491041815198
0,t373,253,254,254,35.19990539550781,42.28007507324219,80.33735656738281,1,2,45,41.066951523546756,44.873471582598185,30.70610185146683
0,t374,253,255,255,34.272796630859375,40.96112060546875,79.00035095214844,1,1,42,42.50245407053248,45.87577348275152,31.14669374506551
0,t375,249,254,255,27.913330078125,33.999298095703125,74.05558776855469,0,1,28,36.015288542957066,39.27473204420431,25.498782407453938
0,t376,248,254,255,29.430007934570312,33.7469482421875,76.91007995605469,0,0,43,45.60981409076319,49.6453498052772,34.09380932347545
0,t377,253,254,255,25.552871704101562,30.977996826171875,75.82861328125,1,1,49,34.079294257836416,38.63844638509293,24.888237421404487
0,t378,221,232,236,17.068923950195312,19.791046142578125,69.58621215820312,0,0,37,24.400205964803487,26.906833148339437,17.30896396320135
0,t379,247,254,255,23.43548583984375,25.57745361328125,87.18190002441406,1,1,51,33.33196904524101,36.39463812887195,21.927520854031123
0,t38,255,255,255,52.8162841796875,59.48692321777344,133.9875030517578,0,0,20,66.70777386815297,67.31002327510103,42.41916909191357
0,t380,235,246,249,18.042190551757812,20.392715454101562,77.61601257324219,0,0,45,22.550322260319394,25.707039762417683,14.865270150892703
0,t381,252,255,254,18.353775024414062,20.17242431640625,78.78071594238281,0,1,48,27.94668973480523,30.458102507879616,19.198029221800304
0,t382,253,254,255,19.34375,21.872512817382812,76.66476440429688,0,0,46,28.42021764082663,31.189908005605773,19.646987891497638
0,t383,242,253,251,18.486465454101562,21.767898559570312,78.46284484863281,0,0,55,24.286352849614723,27.194023806734325,16.48668597138144
0,t384,251,254,255,31.479385375976562,37.44390869140625,85.37030029296875,2,1,48,39.83158824607983,44.44927312788288,28.779708652702404
0,t385,254,254,255,24.888504028320312,31.059494018554688,74.08763122558594,0,0,47,32.34920845276387,36.67668656038425,23.692229586203418
0,t386,250,255,255,28.973098754882812,34.26921081542969,81.95751953125,0,0,42,40.96028177915166,43.75057500207787,28.573840333697433
0,t387,250,253,255,28.865325927734375,33.61311340332031,89.51275634765625,1,2,51,36.50864451563313,40.809970559376886,24.47515460601802
0,t388,251,254,255,31.357620239257812,37.841278076171875,89.28926086425781,1,2,53,39.44036254252936,44.062144172181576,27.10792713898512
0,t389,254,254,255,19.09918212890625,21.85845947265625,79.77345275878906,0,0,36,29.818201012733386,32.354171844779785,20.85239724595625
0,t39,255,237,250,54.25819396972656,59.726409912109375,136.31985473632812,0,0,28,66.03999135422703,67.07035305602253,42.9854884310127
0,t390,255,254,255,28.404739379882812,33.73957824707031,82.23619079589844,0,0,51,42.17184230702462,45.876513444337206,30.149273855766463
0,t391,254,254,255,28.859100341796875,34.90647888183594,84.24980163574219,0,0,54,40.16110495725785,43.82977899916776,27.769078611837262
0,t392,253,255,255,38.917449951171875,44.29273986816406,94.67509460449219,1,1,47,46.69664104466908,51.28274677674958,31.098393671535355
0,t4,255,247,255,54.968536376953125,52.741912841796875,138.44627380371094,7,3,6,38.6608035607675,35.4967991019968,37.88729141868894
0,t40,242,224,253,54.14271545410156,60.6866455078125,146.3486328125,0,1,68,63.622891695939614,63.35439143954519,42.414718771814655
0,t400,208,248,255,35.7930908203125,52.55097961425781,133.71389770507812,0,7,29,32.79699789858395,37.94673151048625,27.294005416180326
0,t401,217,254,255,48.281219482421875,69.94998168945312,127.53376770019531,0,7,32,40.898020966445884,47.56306945058517,35.216696574956885
0,t402,222,253,255,41.59332275390625,58.374664306640625,123.4881591796875,0,5,55,33.831246977679896,40.013396593275694,31.5277546057211
0,t403,205,248,255,58.261932373046875,90.44422912597656,117.09446716308594,0,17,60,35.81054845558446,35.924168756424685,36.99129531201053
0,t404,220,201,254,64.71218872070312,90.16899108886719,123.59992980957031,0,3,65,43.89812802012651,48.65639103117776,33.909045364607636
0,t405,153,182,251,50.50993347167969,82.98475646972656,96.49626159667969,6,30,48,22.096822965395525,20.72895638345282,26.95994905803497
0,t406,214,246,255,34.167694091796875,46.66435241699219,128.68482971191406,0,4,24,28.9439089155338,34.665030852653956,26.727220524803922
0,t407,183,220,255,54.93614196777344,80.02145385742188,124.77442932128906,1,10,64,32.32431097846905,35.30703813796552,36.726863795333465
0,t408,224,242,255,44.968841552734375,68.31620788574219,117.46495056152344,1,7,62,28.4289699964555,32.83423020781203,35.34484084307651
0,t409,228,242,255,46.06353759765625,69.62368774414062,118.48579406738281,1,9,59,30.06980389906744,34.32576138560257,36.0090059616991
0,t41,254,255,255,53.19512939453125,71.00125122070312,179.07662963867188,0,13,6,30.226269879493625,28.873849529753883,52.7085954299235
0,t410,240,253,255,33.0489501953125,43.37359619140625,127.45277404785156,1,1,7,26.04455650339351,31.18727221715141,24.397229145399187
0,t411,223,250,255,51.771636962890625,82.00553894042969,100.58293151855469,0,12,46,26.500872995294614,24.7387716048398,30.009213181641382
0,t412,232,255,255,36.774169921875,49.82545471191406,124.78407287597656,1,6,34,30.31977041989066,36.35986188815099,27.343690126962336
